"","x"
"1","Birc5"
"2","Hmgb2"
"3","Cks1b"
"4","H2afz"
"5","Cdca8"
"6","Ccna2"
"7","Spc24"
"8","Mki67"
"9","Cdca3"
"10","Tubb5"
"11","Ccnb2"
"12","Hmgb1"
"13","Rrm2"
"14","Ube2c"
"15","Cdk1"
"16","Smc2"
"17","Tk1"
"18","Asf1b"
"19","Top2a"
"20","Tpx2"
"21","Nusap1"
"22","Hist1h1b"
"23","Fbxo5"
"24","Tyms"
"25","Aurkb"
"26","Cenpf"
"27","Cenpe"
"28","Tacc3"
"29","Cenpa"
"30","Cks2"
"31","Kif11"
"32","Rrm1"
"33","Cdc20"
"34","Hist1h2ae"
"35","Prc1"
"36","Cenpw"
"37","Tubb4b"
"38","Gmnn"
"39","Lmnb1"
"40","Incenp"
"41","H2afx"
"42","Racgap1"
"43","Tmpo"
"44","H2afv"
"45","Dek"
"46","Tuba1c"
"47","Ube2s"
"48","Hist1h2ap"
"49","Lockd"
"50","Smc4"
"51","Txn1"
"52","Kpna2"
"53","Anp32b"
"54","Hist1h1e"
"55","Pclaf"
"56","Nap1l1"
"57","Pcna"
"58","2700094K13Rik"
"59","Selenoh"
"60","Gm10282"
"61","Gm42031"
